PublicID,VehPublicID,VehType,VehicleNumber,Vin,ModelYear,EngineCC,TerritoryCode,PostalCode,County,City,Class,AnnualMileage,YouthfulOperator,DriverAge,Gender,MaritalStatus,LicenseDate,PercentageDriven,NumOperatorOnVehicle,NumMajorConvictions,NumMinorConvictions,NumAtFaultAccidentBI,NumAtFaultAccidentPD,LicenseDateAddDriver1,PercentageDrivenAddDriver1,EligibilityPointsAddDriver1,NumAtFaultAccidentBIAddDriver1,NumAtFaultAccidentPDAddDriver1,LicenseDateAddDriver2,PercentageDrivenAddDriver2,EligibilityPointsAddDriver2,NumAtFaultAccidentBIAddDriver2,NumAtFaultAccidentPDAddDriver2,CollisionDeductibleAmt,ComprehensiveDeductibleAmt,TowingRentalLimit,VehicleModifiers
pc:1029982305Pc_PolicyPeriod,pc:1073637105Pc_PersonalVehicle,Private Passenger,1,JM3TB3MV6A0228561,2010,,059,02818-1501,Kent,East Greenwich,,8030,,22,Male,Single,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAVehicleUse', 'PAAntiTheftRI', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
pc:1029982305Pc_PolicyPeriod,pc:1073637108Pc_PersonalVehicle,Private Passenger,4,WBA5A7C53FD625588,2015,,059,02818-1501,Kent,East Greenwich,,3650,,22,Male,Single,,,0,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PAVehicleUse', 'PAAntiTheftRI', 'PATransNetworkCoverage', 'PAElectronicStabilityControl', 'PAFwdCollWarnSystems', 'PAPassiveRestraint', 'PASideRestraint', 'PAAdaptiveHeadlights']
pc:1029982305Pc_PolicyPeriod,pc:1073637106Pc_PersonalVehicle,Private Passenger,2,WBAVL1C58FVY30809,2015,,059,02818-1501,Kent,East Greenwich,,3650,,55,Female,Married,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAVehicleUse', 'PAAntiTheftRI', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
pc:1029982305Pc_PolicyPeriod,pc:1073637107Pc_PersonalVehicle,Private Passenger,3,1FMCU9HX1DUD56488,2013,,059,02818-1501,Kent,East Greenwich,,7300,,62,Male,Married,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PAVehicleUse', 'PAAntiTheftRI', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
pc:1030012916Pc_PolicyPeriod,pc:1073790681Pc_PersonalVehicle,Private Passenger,4,WBA5A7C53FD625588,2015,,059,02818-1501,Kent,East Greenwich,,3650,,55,Female,Married,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PAVehicleUse', 'PAAntiTheftRI', 'PATransNetworkCoverage', 'PAElectronicStabilityControl', 'PAFwdCollWarnSystems', 'PAPassiveRestraint', 'PASideRestraint', 'PAAdaptiveHeadlights']
pc:1030012916Pc_PolicyPeriod,pc:1073790678Pc_PersonalVehicle,Private Passenger,1,JM3TB3MV6A0228561,2010,,059,02818-1501,Kent,East Greenwich,,8030,,22,Male,Single,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAVehicleUse', 'PAAntiTheftRI', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
pc:1030012916Pc_PolicyPeriod,pc:1073790679Pc_PersonalVehicle,Private Passenger,2,WBAVL1C58FVY30809,2015,,059,02818-1501,Kent,East Greenwich,,3650,,62,Male,Married,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAVehicleUse', 'PAAntiTheftRI', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
pc:1031114104Pc_PolicyPeriod,pc:1077673247Pc_PersonalVehicle,Private Passenger,2,WBAVL1C58FVY30809,2015,,059,02818-1501,Kent,East Greenwich,,3650,,62,Male,Married,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAVehicleUse', 'PAAntiTheftRI', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
pc:1031114104Pc_PolicyPeriod,pc:1077673246Pc_PersonalVehicle,Private Passenger,1,JM3TB3MV6A0228561,2010,,059,02818-1501,Kent,East Greenwich,,8030,,22,Male,Single,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAVehicleUse', 'PAAntiTheftRI', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
pc:1031206344Pc_PolicyPeriod,pc:1078124735Pc_PersonalVehicle,Private Passenger,5,WBAJA7C53JWA74495,2018,,059,02818-1501,Kent,East Greenwich,,10000,,55,Female,Married,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PAPassiveRestraint', 'PASideRestraint', 'PAFwdCollWarnSystems', 'PAAdaptiveHeadlights', 'PAElectronicStabilityControl', 'PAAntiTheftRI', 'PATransNetworkCoverage', 'PAVehicleUse']
pc:1031206344Pc_PolicyPeriod,pc:1078124714Pc_PersonalVehicle,Private Passenger,2,WBAVL1C58FVY30809,2015,,059,02818-1501,Kent,East Greenwich,,3650,,62,Male,Married,,,1,,,,,,,,,,,,,,,1000,200,900,['PAPvtPsgrVehClassification', 'PASideRestraint', 'PAElectronicStabilityControl', 'PAPassiveRestraint', 'PAVehicleUse', 'PAAntiTheftRI', 'PAFwdCollWarnSystems', 'PATransNetworkCoverage', 'PAAdaptiveHeadlights']
